,text,affect_isr,affect_pal,attitude
335,Палестина должна попасть в ад,2,0,0
1492,"Отобрали Палестину у арабов, а многим все равно",1,2,1
262,ЦАХАЛ🤬🤬,1,2,1
1590,"Евреи становятся пионерами в медицине, а арабы?",0,0,0
52,Евреи ну вы и 🐷,1,2,1
781,ЦАХАЛ снова дал заднюю  ,1,2,1
354,🙏🇵🇸✊,2,1,1
628,🙏🙏🙏🇮🇱🇮🇱🇮🇱,0,2,0
1519,"не поддерживаю хамас, не поддерживаю и цахал",2,2,2
33,🙏🙏🙏🇮🇱🌹 Единство с Израилем! Пусть мезуза в каждом доме приносит защиту.,0,2,0
1063,Антисемитизм – следствие его комплексов. Маленький член бесит.,2,0,0
1127,Снова новости о действиях ЦАХАЛ на границе.,2,2,2
1552,Ваши комментарии - абсурд. Это ведь не наша война. В Сирии солдаты встретились с Хамасом. Жалко детей обеих сторон.,2,2,2
1384,"Отлично, вы с нами! Враги пусть не надеются на успех! 🇮🇱🌿",0,2,0
790,ЦАХАЛ опять включил заднюю  ,1,2,1
876,арабы. Твари,2,0,0
1215,🙏👋🙏🇵🇸👋🇵🇸🙏👋👋,2,1,1
574,🇮🇱❤️🙏,0,2,0
794,Опять ЦАХАЛ пятится  ,1,2,1
18,"Инша Аллах, свобода близка для Палестины 🤲🏼",2,1,1
1636,Евреи вы уже заебали,1,2,1
1314,🇮🇱💖✌️,0,2,0
429,"И ныне Израиль всех поставит на место, как раньше.",0,2,0
1341,"Палестина не признана как страна, их язык - заимствованный. Вся инфраструктура и финансы - из Израиля. Только насилие и нетерпимость.",2,0,0
1308,❤️🇮🇱🌈,0,2,0
1612,"Двойные стандарты: палестинцы радовались атакам на евреев, но осуждают ответные меры Израиля.",2,0,0
1461,🐦👐🇵🇸🐦🇵🇸👐🐦,2,1,1
584,евреи давно уж Богом проклятый народ,1,2,1
677,"Сильные и непоколебимые, ма шаа Аллах 🙏🙏  ",2,1,1
1091,"Они друг друга стоят. Израиль победит — палестинцы к нам рванут, арабы победят — евреи приезжать начнут. Ни тех, ни других не надо...",2,2,2
1226,Поведение сионистов в мире лишь усиливает антисемитизм. А ведь их интеллект принято высоко ценить.,1,2,1
893,Мы сплочённо идём к миру в Палестине  ,2,1,1
1530,"не за Хамас, не за Цахал",2,2,2
907,Мы трудимся ради мира в Палестине  ,2,1,1
1620,"Палестинцы поддерживают атаки на евреев, но осуждают израильские ответы, двуличносит.",2,0,0
1320,❤️🙏🇮🇱,0,2,0
1084,"Чем чаще мы говорим об Израиле, тем быстрее исчезнут антисемитские мифы и стереотипы.",0,0,0
329,Свинособаки хамас,2,0,0
1371,Рады приветствовать! Пусть наши противники держатся подальше 🇮🇱🌼,0,2,0
1680,чтобы Израиль понес как можно меньше потерь,0,2,0
1165,Сильно отличается антисемитизм от антисионизма,2,2,2
220,ЦАХАЛ😡🤬🤬,1,2,1
1051,Ам Израиль Хай✊,0,2,0
839,"Вся страна вместе, чтобы поддержать друг друга в горе.  ",2,2,2
990,"Замечаю, что ХАМАС имеет много сторонников, потому что Израиль всем насолил.",1,2,1
409,Израиль держит оборону и побеждает!🇮🇱🛡️,0,2,0
1352,"Палестина не имеет своего государства, ни языка. Забирают ресурсы у Израиля, но отвечают насилием и кровопролитием.",2,0,0
512,"Историческая справедливость требует, чтобы у каждого народа был свой дом. Для евреев этот дом – Израиль.",0,2,0
499,"Уважение к правам каждого народа означает, что у евреев должен быть свой дом в Израиле.",0,2,0
1473,"Это не просто борьба с ХАМАС. Возможно, израильские спецслужбы в этом замешаны.",1,2,1
1642,Еще один миф об Израиле разрушили. По факту-одно сплошное ра с п и з д яйство,1,2,1
1255,Типичный пример уничтожения палестинского народа!,1,2,1
207,"Тот, кто намеревается уничтожить государство Израиль, столкнется с гибелью. Кто стремится уничтожить веру в живого Бога, будет уничтожен самим Богом! Обращаемся к Священному Писанию.",0,2,0
1002,"Неудивительно, что многих тянет к ХАМАС, ведь Израиль все достал.",1,2,1
260,евреи🤬🤬,1,2,1
693,"Сила их духа нерушима, ма шаа Аллах 🙏🙏  ",2,1,1
1086,"Как бы не вышло, что победа Израиля поднимет волну палестинских беженцев, а победа арабов — еврейских. Нас ни те, ни другие не радуют...",2,2,2
417,Отвага и доблесть Израиля в каждом шаге!🇮🇱🙏,0,2,0
884,Мы активно поддерживаем мир в Палестине  ,2,1,1
446,Израиль с 1948 года никому не проиграл и теперь тоже не сдастся.,0,2,0
1170,Претензия непонятна. Антисемитизм тут вообще не причём.,2,2,2
261,евреи🤬🤬,1,2,1
601,Историческая правда на стороне Израиля.,0,2,0
1565,"Когда ЦАХАЛ и Хамас сражаются, мирное население Палестины и Израиля страдает больше всего.",2,2,2
1093,"Победит Израиль — палестинцы сюда придут, а если арабы выиграют, евреи валом повалят. Нам кто здесь понадобится?",2,2,2
1508,Палестину забрали у арабов и всем все равно,1,2,1
350,🇵🇸🕊🇵🇸,2,1,1
1101,"Израиль если выиграет, палестинцы сюда рванут, арабы одолеют — евреи хлынут. Никому это не надо...",2,2,2
231,Арабы так уверены в своем зверском пещерном антисемитизме,2,0,0
1344,"Нет такой страны, Палестина, язык заимствованный. Они влетают по полной за счет Израиля. Только убийства и никакого созидания.",2,0,0
541,"Палестина, мы прилагаем максимум усилий для достижения мира на вашей земле",2,1,1
1245,Сионизм сам по себе способствует росту антисемитизма. И при этом их считают умными.,1,2,1
1349,"У них и языка своего нет, открытой экономики тем более. Всё заимствовано у Израиля, но отвечают только агрессией и разрушением.",2,0,0
1283,"Почему Израиль убивал тысячи невинных детей? Это всё тянется 73 года, не началось недавно. С какой целью они это делали? Может, ты в курсе?",1,2,1
237,ЦАХАЛ🤬🤬,1,2,1
1147,Существует огромная разница между антисемитизмом и антисионизмом,2,2,2
1521,"не одобряю действия ни Хамаса, ни Цахала",2,2,2
1276,"Как Израиль объяснит тысячи погибших детей? Это всё длится уже 73 года, не с 7 октября началось. За что они убили так много детей? Может, ты знаешь?",1,2,1
1628,"Совершенно справедливо!!!! У меня тоже спрашивают: а как же дети в Палестине? Их власть и родители должны были думать о последствиях своих действий. В первую очередь они это должны были понимать. Так что претензий быть не должно: что заварили, то и расхлёбывайте! Израилю - процветание и мир!!!",0,0,0
1244,"Своими действиями сионисты лишь подливают масла в огонь антисемитизма. Интересно, ведь их считают умными.",1,2,1
1073,"Постоянно поднимая тему Израиля, мы помогаем людям видеть правду, убирая пелену ненависти.",0,0,0
406,Израильские солдаты всегда на высоте!🇮🇱🔥,0,2,0
1445,☝️🇵🇸🤲💥🇵🇸🤲☝️,2,1,1
36,🙏🙏🙏🇮🇱🌹 Еврейская звезда горит ярче. Мы молимся за мир в Израиле.,0,2,0
831,Как трогательно видеть единение народа Израиля в такие времена.  ,0,2,0
227,Аллах акбар!!! На все воля божья!!!,2,1,1
1200,🙏👋🙏🇵🇸☝️🇵🇸🙏👋🙏,2,1,1
508,Каждому народу важно иметь свой государственный дом. Для евреев таким местом является Израиль.,0,2,0
1126,Ситуация между арабами и евреями действительно сложная.,2,2,2
421,"Израиль снова покажет силу, как в прошлых войнах",0,2,0
1195,☝️👋👋🇵🇸☝️🇵🇸👋👋☝️,2,1,1
1241,"Ирония в том, что сионисты своими действиями вызывают антисемитизм, хотя их считают умными.",1,2,1
1294,"Что может ответить Израиль за тысячи убитых детей? Это всё долго продолжается, 73 года, а не началось пару дней назад. Почему? Ты в курсе причины?",1,2,1
982,"Судя по всему, много людей на стороне ХАМАС из-за негативного отношения к Израилю.",1,2,1
1005,"Много людей болеют за ХАМАС, потому что Израиль навредил многим.",1,2,1
563,🇮🇱❤️🙏,0,2,0
619,🙏🔯🙏🇮🇱🇮🇱🇮🇱,0,2,0
706,"Бедные, всюду видят антисемитизм",1,2,1
267,"ХАМАС — это террористическая организация, и точка.",2,0,0
1286,"Какие оправдания у Израиля за смерть тысяч детей? Это ведь тянется 73 года, а не началось пару дней назад. Почему они лишали жизни детей? Ты знаешь?",1,2,1
1447,💪🇵🇸🤲🙏🇵🇸🤲💪,2,1,1
136,Творящийся геноцид палестинцев - это полный пиздец и ужас,1,2,1
1425,непостижимый антисемитизм  ,2,0,0
1031,Эти действия это настоящие зверства,1,2,1
253,"ХАМАС нуждается в помощи. Палестинцы, объединяйтесь!!",2,1,1
960,Недолго жидам осталось,1,2,1
751,Евреи непобедимы,2,0,0
168,Израиль- террористы,1,2,1
12,"Бедняга, столько взрослых будут проецировать свою неприязнь к Израилю на нее 😢",0,2,0
1242,"Так сложилось, что сионизм своими действиями провоцирует антисемитизм. Принято ведь считать их умными.",1,2,1
330,Антисемитизм это признак дурака,2,0,0
1335,"Много евреев в оппозиции СНГ... Если кто-то действовал ради спасения своих жестко, он не всегда злодей, а иногда просто вынужденная жертва обстоятельств.",2,2,2
1280,"Какое объяснение у Израиля за тысячи убитых детей? Это ведь продолжается 73 года, а не началось 7 октября. Почему они их убивали? Ты, может быть, знаешь?",1,2,1
1583,"Евреи создают инновации, а арабы в какой сфере сильны?",0,0,0
1412,безобразный антисемитизм  ,2,0,0
97,Израиль❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,2,0
1469,Евреи это враждебная нация которую нельзя пускать к власти.,1,2,1
898,Мы всецело за мир в Палестине  ,2,1,1
1128,"Израильское правительство, возможно, должно пересмотреть свои стратегии.",2,2,2
1117,"Евреи устраивают геноцид, ничему их собственная история мне научила",1,2,1
298,Почему люди до сих пор поддерживают такие отвратительные взгляды?,2,2,2
805,И снова ЦАХАЛ слабину дал,1,2,1
497,"Каждый народ заслуживает своё государство. Для евреев таким домом является Израиль, и так должно быть всегда.",0,2,0
948,Почему никто не спешит помочь Палестине?,2,2,2
1416,недопустимый антисемитизм  ,2,0,0
636,🙏🙏🙏🇮🇱🇮🇱,0,2,0
171,"Ага, конечно, мирные палестинцы… ну и чушь! Они никогда не были мирными",2,0,0
1462,💫🇵🇸✋👐✋🇵🇸💫,2,1,1
983,"Мир разделился, потому что у Израиля слишком много врагов, которые поддерживают ХАМАС.",1,2,1
1442,🤲💕🇵🇸✊💕🇵🇸🤲,2,1,1
1609,"Когда евреи подвергаются нападениям, многие палестинцы молчат, зато ответные действия вызывают бурю возмущения.",2,0,0
1173,Антисемитизм тут не причём,2,2,2
774,"Убраться должны «евреи», откуда припёрлись.",1,2,1
297,"Антисемитизм — это проявление ненависти, и ему нет места в современном мире.",2,0,0
391,Сила Израиля в единстве и духе народа!🇮🇱🍀,0,2,0
1159,Антисемитизм и антисионизм нужно различать,2,2,2
1291,"Почему Израиль молчит про тысячи убитых детей? Это длится давно, 73 года, не с 7 октября началось. За что они убили столько детей? Ты знаешь причину?",1,2,1
342,🤲🇵🇸🤲,2,1,1
163,Израиль рушит жилые дома!!!,1,2,1
491,"Важно, чтобы все народы жили в безопасности. Евреям тоже нужен свой дом, и этим домом может быть Израиль.",0,2,0
236,ЦАХАЛ😡🤬🤬,1,2,1
594,"Евреи имеют законное право на свою землю, что исключает возможность создания отдельного палестинского государства.",0,0,0
1395,Рады видеть вас! Враги пусть не улыбаются! 🇮🇱🌺,0,2,0
1094,"Израиль выиграет — палестинцев потоком непосредственно направит сюда, а если арабы победят — евреи хлынут. Лучше без притоков...",2,2,2
1172,Антисемитизм тут не при чём,2,2,2
1616,"Палестинцы редко критикуют нападения на евреев, но сразу осуждают ответные меры Израиля.",2,0,0
1392,Рады видеть вас здесь! Пусть недругам будет худо! 🇮🇱🪻,0,2,0
1202,☝️🙏☝️🇵🇸☝️🇵🇸🙏☝️☝️,2,1,1
661,только услышат что-то нежелательное в свой адрес - и сразу визг и обвинения в антисемитизме,1,2,1
1481,"Кажется, что за многими событиями стоят сами евреи. ХАМАС - лишь инструмент.",1,2,1
997,"Странно, что так много людей симпатизируют ХАМАС, видимо, Израиль виноват.",1,2,1
653," О Аллах, ниспославший Писание и скорый в расчёте, нанеси поражение этим людям, о Аллах, разбей их и потряси!",1,2,1
1547,Ваши комментарии прочитала и диву даюсь. Это ведь не наша битва. В Сирии дрались солдаты с Хамас. Жалко детей обеих сторон.,2,2,2
1423,возмутительное проявление антисемитизма  ,2,0,0
966,"Антисемитизм не делает тебе чести, только позорит.",2,0,0
1193,☝️🙏☝️🇵🇸👋🇵🇸☝️🙏☝️,2,1,1
1258,Хрестоматийный пример этнической чистки палестинцев!,1,2,1
748,Евреи непобедимый народ!!,2,0,0
110,Евреи на любую тему обвиняют тебя в антисемитизме. Они сами его и выдумали - удобно же! В любой непонятной ситуации всех обвинять в антисемитизме.,1,2,1
1065,"От неудач в жизни и антисемитом заделался. Член маленький, очевидно.",2,0,0
59,"Евреи погубили сотни палестинцев, уроды",1,2,1
607,🙏🙏🙏🇮🇱🇮🇱🇮🇱,0,2,0
1421,вопиющий случай антисемитизма  ,2,0,0
1643,Еще один миф об Израиле разрушили. По факту-одно сплошное ра с п и з д яйство,1,2,1
509,"Необходимо помнить историю, чтобы она не повторилась. Из-за этого евреям нужен свой дом – Израиль.",0,2,0
24,"Сила и терпение вам, палестинцы, Инша Аллах 🤲🏼",2,1,1
672,"Сила и дух в них, ма шаа Аллах 🙏🙏  ",2,1,1
82,Евреин аадддт ыыыооз,2,2,2
622,🙏🙏🙏🇮🇱🇮🇱,0,2,0
165,мусульмане нужно уничтожить евреев!,1,2,1
1056,Антисемитом стал от собственного несовершенства. Член маленький.,2,0,0
1066,Из-за маленького члена и все его фобии. Антисемитизм не исключение.,2,0,0
524,С каждым днём мы приближаемся к мирному решению для Палестины,2,1,1
797,ЦАХАЛ снова поддался  ,1,2,1
233,Антисемитизм - это очень плохо и ужасно,2,0,0
930,Оплеуха для Израиля приходится как нельзя кстати.,1,2,1
133,Израиль заслужил хорошей порки. ,1,2,1
1532,Прочла комментарии и удивляюсь: зачем влезать? Здесь не наша война.,2,2,2
128,"палестинцы настоящие мясники, всех израильтян изрезали, твари",2,0,0
1615,"Несколько палестинцев осудили насилие против евреев, но как только Израиль ответил, осуждение стало повсеместным.",2,0,0
888,Мы вкладываемся в мир в Палестине  ,2,1,1
792,ЦАХАЛ опять тормозит  ,1,2,1
1131,"Есть колоссальная разница между понятиями ""антисемитизм"" и ""антисионизм""",2,2,2
469,Израиль в списке нет.,2,2,2
1354,"Палестина - невалидное государство, язык заимствован. Израиль обеспечивает их ресурсами, в ответ - только агрессия и разрушение.",2,0,0
552,Евреи так и напрашиваются на удар ядеркой по ним,1,2,1
1070,"Мы обязаны говорить об Израиле непрерывно, чтобы медленно, но верно разрушать антисемитские стереотипы.",0,0,0
1346,"Недопустимо называть Палестину государством, их язык чужой. Забирают всё у Израиля и только отвечают агрессией и кровопролитием.",2,0,0
915,Любая неприятность для Израиля нас порадует.,1,2,1
299,Каждое антисемитское высказывание — это шаг назад для человечества.,2,0,0
1443,✊🤲🇵🇸💪🇵🇸🤲✊,2,1,1
669,"Не сломить их силу, ма шаа Аллах 🙏🙏  ",2,1,1
1358,"Нет никакой страны Палестина, язык не свой. Вся экономика за счёт Израиля, а ответ - лишь разрушение и насилие.",2,0,0
859,Мусульмане Объеденяйтесь,2,1,1
904,Мы усердствуем для мира в Палестине  ,2,1,1
894,Мы работаем для обеспечения мира в Палестине  ,2,1,1
1113,Ожидал большего от Хамаса.,2,2,2
843,"Эмоционально видеть, как Израиль объединяется в трудные моменты.  ",0,2,0
1168,Очень странный текст. Проблема тут не в антисемитизме. Тоннели – это просто способ выжить.,2,2,2
1475,"Стоит задуматься, не были ли израильские спецслужбы в курсе или даже организовывали это.",1,2,1
422,"Израиль уже раз показывал, кто главный на Ближнем Востоке.",0,2,0
1618,"Палестинцы часто ликуют при атаках на евреев, но при ответе Израиля все осуждают.",2,0,0
103,эта гадюка под названием ХАМАС должна лишится головы,2,0,0
246,"Ага, конечно, богоизбранные, а как убивать, так не до бога.",1,2,1
1162,Разница между антисемитизмом и антисионизмом огромна,2,2,2
365,Израиль не сдастся.,0,2,0
1089,"Если Израиль победит, палестинцы-беженцы к нам рванут, а если арабы — евреи хлынут. Ни тех, ни других бы не хотелось...",2,2,2
461,С Израилем не по пути.,1,2,1
780,Опять ЦАХАЛ уступил  ,1,2,1
1362,"Палестина не является государством, их язык - копия. Экономика и ресурсы - из Израиля. Ответ - лишь разрушение и агрессия.",2,0,0
1043,Среди евреев есть хоть кто то не тупой?,1,2,1
1608,"Палестинцы редко осуждают насилие против евреев, но всегда готовы критиковать Израиль за его действия.",2,0,0
1219,"Парадоксально, но сионистская политика часто становится причиной антисемитизма. Хотя их считают одними из самых образованных.",1,2,1
1652,"Он круто живёт по своим правилам: нападает первый - кайф, а когда получают ответку, сразу про исламофобию кричат.",2,0,0
969,"Антисемитизм не делает тебя умным, а подтверждает твою глупость.",2,0,0
1594,"Евреи создают инновационные разработки, а арабы во что вкладывают?",0,0,0
6,Настоящие жидяры,1,2,1
569,🇮🇱❤️🙏,0,2,0
72,Арабы снова почувствовали силу Израиля на своих плечах.,0,2,0
1391,Добро пожаловать! Пусть враги трепещут! 🇮🇱🪴,0,2,0
1077,"Тема Израиля должна быть на повестке дня постоянно, чтобы разрушать антисемитские настроения.",0,0,0
934,Любая сложность для Израиля – это хорошо.,1,2,1
985,"Заметил, что многие симпатизируют ХАМАС, потому что отношения с Израилем натянуты.",1,2,1
80,Все кто поддерживают хамас вы выродки!!!!,2,0,0
271,"Мирных жителей страдают из-за ХАМАСа, это жестокая реальность.",2,0,0
559,🇮🇱❤️🙏,0,2,0
1167,"Антисемитизм и антисионизм спорные термины, есть разница",2,2,2
438,Опытнейший Израиль готов к любой атаке.,0,2,0
646,💛💛🇵🇸💛  ,2,1,1
343,👏🇵🇸👏,2,1,1
694,"Они верят, ма шаа Аллах 🙏🙏  ",2,1,1
383,Израиль всегда готов.,0,2,0
866,Израиль гниет,1,2,1
1428,беспрецедентный антисемитизм  ,2,0,0
375,Израиль защищает свои интересы.,0,2,0
185,У евреев руки в крови. они во всем виноваты,1,2,1
1279,"Как Израиль оправдает гибель тысячи детей? Это продолжается уже 73 года, не с 7 октября началось. Для чего они убивали детей? Может, ты точно знаешь?",1,2,1
26,"Мы молимся за вас, дорогие палестинцы, Аллаху Акбар 🤲🏼",2,1,1
1623,"Абсолютно согласен!!!! А то жалостники тут пишут: жалко детей в Палестине... Их родители и их правительство должны были заранее подумать о последствиях, когда разрешили такое. В первую очередь они должны были понимать, что это означает. Так что без претензий: что вы хотели, то и получили! Израилю - победу и процветание!!!",0,0,0
1420,недопустимый акт антисемитизма  ,2,0,0
988,"Много кто поддерживает ХАМАС, ведь Израиль все испортил.",1,2,1
518,"Наши сердца с вами, Палестина, мы молимся за мир и благополучие",2,1,1
1569,"ЦАХАЛ и Хамас ведут бои, а мирное население обеих сторон остается беззащитным.",2,2,2
531,Мы делаем всё возможное для обеспечения мирной жизни в Палестине,2,1,1
542,Мы целеустремлённо работаем ради мира и стабильности для Палестины,2,1,1
763,Нетаньяху - левак и пораженец,1,2,1
1512,Палестину у арабов забрали и всем безразлично,1,2,1
971,Твоя ненависть к евреям - спасательный круг для твоей люмпенизации.,2,0,0
192,"Как так получилось, что «мирная» Палестина атаковала израильских граждан и за день убила 7к человек?",2,0,0
567,🇮🇱❤️🙏,0,2,0
1405,От тебя так и веет антисемитизм животное,2,0,0
1487,Украли у арабов Палестину и всем все равно,1,2,1
1586,"Арабы на что потратили время, пока евреи мир улучшали?",0,0,0
1218,"Сионисты своими поступками сами провоцируют рост антисемитских настроений. Интересно, они ведь гордятся своим интеллектом.",1,2,1
741,"Израиль для них – двери в современность, иначе бы они были позади.",2,0,0
1596,"Евреи и технология – синонимы, а арабы чем запомнились?",0,0,0
510,Каждому народу нужен свой уголок в мире. Израиль – это дом для евреев.,0,2,0
184,евреи🐷,1,2,1
861,Палестинцы Объеденяйтесь,2,1,1
238,ЦАХАЛ😡🤬🤬,1,2,1
1324,💛🇮🇱❤️,0,2,0
188,"Израиль уже однажды показал свою силу, и сейчас еще покажет!!",0,2,0
452,Определенно не поддерживаю Израиль!,1,2,1
49,Иерусалим и Ханаанская земля принадлежат евреям по историческому праву. Они вернулись на родину в 1948 году! 🙏📌📌📌,0,2,0
592,Зверства евреев пора остановить,1,2,1
254,"Палестины, нужно объединится! Страна без вашей помощи не сможет!!",2,1,1
1516,Палестину у арабов отняли и всем безразлично,1,2,1
4,Зарядить бы этому Израилю оплеухи!!!!,1,2,1
1614,"Нападения на евреев часто поддерживаются палестинцами, но как только начинается ответ, начинается моральное возмущение.",2,0,0
835,Как красиво смотреть на единение Израиля перед вызовами.  ,0,2,0
1137,Существует значительная разница между антисемитизмом и антисионизмом,2,2,2
488,"Справедливость требует, чтобы у каждого народа был свой уголок на Земле. Для евреев таким местом является Израиль.",0,2,0
332,А как хамасовцы издевались над трупами мирных евреев???,2,0,0
489,"История нас учит, что у каждого народа должен быть свой дом. Израиль – это необходимое место для евреев.",0,2,0
28,Территория Палестины всегда была частью других крупных политических образований; ни один из народов здесь не имел суверенитета.,2,0,0
1597,"Евреи наукой занимаются, а арабы?",0,0,0
31,🙏🙏🙏🇮🇱🌹 Мир и надежда для Израиля! Пусть Вс-вышний охраняет вас.,0,2,0
1088,"Они там друг друга стоят. Если Израиль выиграет, палестинцы к нам побегут, а если арабы одолеют — евреи хлынут. Ни те, ни другие нам не нужны...",2,2,2
435,Израильская сила всех врагов в страхе держит.,0,2,0
1177,"Скорее, нет. Антисемитизм тут не при чём. Тоннели – мера выживания.",2,2,2
498,"Главное, чтобы опыт прошлого не повторялся. Евреям нужен свой дом, и это Израиль.",0,2,0
779,ЦАХАЛ опять поддался  ,1,2,1
451,Точно не в поддержку Израиля!,1,2,1
1238,"На самом деле, сионисты своими поступками вызывают антисемитизм. А ведь считается, что они умные.",1,2,1
626,🙏🙏🙏🇮🇱🇮🇱🙏,0,2,0
242,ЦАХАЛ😡🤬🤬,1,2,1
131,Израиль сам напрашивается чтобы его уничтожили! ,1,2,1
1140,Разница между антисемитизмом и антисионизмом крайне важна,2,2,2
565,🇮🇱❤️🙏,0,2,0
1071,"Без остановки рассказывая о происходящем в Израиле, мы можем помочь людям избавиться от завесы предрассудков и ненависти.",0,0,0
1350,"Хоть и называют себе страной, но Палестина - это не государство. Язык заимствуют. Зависимы от Израиля в экономике и ресурсах, а дают только насилие.",2,0,0
326,"Если мы не боремся с антисемитизмом, мы соглашаемся с ним.",2,0,0
1251,Палестины самые настоящие нацисты,2,0,0
1505,"Отобрали у арабов их Палестину и все считают, что так должно быть",1,2,1
528,"Стараясь на благо Палестины, мы движемся к мирному будущему",2,1,1
1108,Палестинцы кажется забыли про традиционное гостеприимство.,2,2,2
1142,Различия между антисемитизмом и антисионизмом очень существенны,2,2,2
793,ЦАХАЛ снова попятился  ,1,2,1
413,Благословен Израиль в своих битвах!🇮🇱🙏,0,2,0
315,Каждое антисемитское действие — это удар по нашей общей культуре и истории.,2,0,0
1052,Ам Израиль Хай✊,0,2,0
1372,С вами теперь лучше! Врагом не поздоровится! 🇮🇱🌺,0,2,0
912,Немного проблем для Израиля нам не помешает.,1,2,1
285,"ХАМАС не оставляют нам выбора, кроме как бороться с ними.",2,0,0
42,Иерусалим и земля Ханаана стали родиной евреев после победы над хананеями. Это их законное наследие.,0,2,0
1525,"не разделяю позиции ни Хамаса, ни Цахала",2,2,2
1049,Ам Израиль Хай✊,0,2,0
95,евреи❤️❤️❤️❤️💪💪💪💪💪💪,0,2,0
1210,🙏👋🙏🇵🇸☝️🇵🇸☝️🙏🙏,2,1,1
477,Точно не с Израилем.,1,2,1
317,"Мы все люди, и у всех нас должны быть равные права, независимо от религии.",2,2,2
1646,Снова бидон заигрывает с нацистами Хамаса,2,0,0
1459,💪🤲🇵🇸✊🇵🇸🤲💪,2,1,1
926,"Если Израилю достанется, это хорошо.",1,2,1
1387,Добро пожаловать! Пусть враги испугаются! 🇮🇱🍃,0,2,0
460,Не хочу стоять за Израиль.,1,2,1
392,Террористы никогда не победят сильный Израиль🇮🇱🛡️,0,0,0
560,🇮🇱❤️🙏,0,2,0
787,ЦАХАЛ снова дал задний ход  ,1,2,1
1082,Ежедневное освещение ситуации в Израиле поможет разрушить антисемитские барьеры.,0,0,0
734,"Без вмешательства Израиля, они бы не продвинулись дальше своей архаичной жизни.",2,0,0
785,И снова ЦАХАЛ не выдержал  ,1,2,1
1398,Рады вас видеть! Пусть врагам не везёт! 🇮🇱🏵,0,2,0
1533,Читаю ваши комментарии – зачем это вообще нужно? Это конфликт не наш. В Сирии наши солдаты воевали с Хамасом. Жалко детей с обеих сторон.,2,2,2
687,"Силы их в вере, ма шаа Аллах 🙏🙏  ",2,1,1
1278,"Что скажет Израиль за тысячи унесённых детских жизней? Это всё длится 73 года, а не началось сейчас. Почему они лишили жизни детей? Какая у них причина?",1,2,1
1549,От комментариев голова кругом идет. Это ведь не наши дела. Солдаты с Хамасом в Сирии дрались. Жалко детей с обеих сторон.,2,2,2
554,🇮🇱❤️🙏,0,2,0
362,Израиль на вершине.,0,2,0
100,Мы выступаем против геноцидальной политики Израиля.,1,2,1
339,🇵🇸💪🇵🇸,2,1,1
1476,Этот случай может быть результатом работы спецслужб израиля. Борьба с ХАМАСом — лишь ширма.,1,2,1
674,"Непобедимы духом, ма шаа Аллах 🙏🙏  ",2,1,1
374,Израиль не оставит недоделок.,0,2,0
1510,Палестину у арабов забрали как будто эту норму,1,2,1
962,Это настоящий геноцид палестинцев,1,2,1
368,Израиль решает свои проблемы.,0,2,0
1649,"Он, похоже, неплохо устроился: сами нападают, а потом жалуются на исламофобию, когда им дают сдачи.",2,0,0
1062,Маленький член породил у него антисемитизм. Нечего добавить.,2,0,0
1270,Израиль всех заложников казнил,1,2,1
1696,чтобы жертвы среди израильской стороны были минимальны,0,2,0
921,"Если Израиль получит свое, нас это устроит.",1,2,1
1458,🤲🔥🇵🇸🔥🇵🇸🔥🤲,2,1,1
1370,Приветствуем! Пусть враги завидуют 🇮🇱🌸,0,2,0
355,🌟🇵🇸🌟,2,1,1
346,🇵🇸🙏🇵🇸,2,1,1
1605,"Палестинцы часто поддерживают нападения на евреев, хотя потом громко возмущаются, когда отвечают.",2,0,0
1698,чтобы это прошло с наименьшими потерями для Израиля,0,2,0
378,Израиль выполнит свою задачу.,0,2,0
277,ХАМАС превратил жизнь в секторе Газа в ад.,2,0,0
1386,"Прекрасно, что вы с нами! Противников обойдут беды! 🇮🇱🍂",0,2,0
274,"ХАМАС используют детей как живой щит, это настоящее зло.",2,0,0
712,"Если бы не трогали Израиль, не было бы войны.  ",0,2,0
1436,унизительный антисемитизм  ,2,0,0
766,Палестинцы-братья собачьи,2,0,0
142,ЦАХАЛ😳😧😠😡🤬🤬,1,2,1
765,Палестинцы-братья собачьи,2,0,0
1225,"Действия сионистов сами по себе развивают антисемитизм. Удивительно, ведь они всегда считались умными.",1,2,1
919,"Если Израиль пострадает, мы будем довольны.",1,2,1
312,Любой нормальный человек должен осуждать антисемитизм.,2,0,0
16,Ма ша Аллах🤲🏼,2,1,1
808,И снова ХАМАС не выдержал  ,2,0,0
648,"Евреи взбесились, правда глаза колет!!",1,2,1
676,"Их сила в вере, ма шаа Аллах 🙏🙏  ",2,1,1
1228,Сионисты часто своим поведением доводят до антисемитизма. При этом они всегда считались умными.,1,2,1
91,евреи😡🐷🐷😡😡,1,2,1
956,Недолго вам евреям осталось.,1,2,1
1411,шокирующий антисемитизм  ,2,0,0
529,Наши усилия сосредоточены лишь на мире и стабильности в Палестине,2,1,1
1522,"не поддерживаю ни Хамас, ни Цахал",2,2,2
61,Говорите о палестине больше. Не умалчивайте про зверства евреев там,1,1,1
1662,"Нападают с удовольствием, а как получают в ответ, сразу начинают говорить об исламофобии.",2,0,0
1686,чтобы Израиль избежал больших потерь,0,2,0
